                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91027,                 1.1552,                 1.1589,                0.08169,                0.10714,                0.03495,                 0.0186,                 2.3001,                 4.5579,                 2.8045,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.9971,                 1.2457,                 1.2245,                0.13763,                0.14286,                0.05789,                0.02226,                 2.4369,                 4.0129,                 2.8622,               0.001307,               0.001307,               0.001307
                     37,                0.98231,                 1.2154,                 1.2678,                0.11137,                0.17857,                 0.0591,                0.02967,                 2.1334,                 3.2021,                 2.6168,              0.0012872,              0.0012872,              0.0012872
                     38,                0.99223,                 1.1712,                 1.2219,                0.22136,                0.10714,                0.07732,                0.04405,                 2.0065,                 2.9944,                 2.5475,              0.0012674,              0.0012674,              0.0012674
                     39,                0.97068,                 1.2585,                 1.2435,                0.23842,                0.17857,                 0.0958,                0.03989,                   1.91,                 3.2283,                 2.3697,              0.0012476,              0.0012476,              0.0012476
                     40,                0.97525,                 1.2455,                 1.2517,                0.17879,                0.17857,                0.08583,                0.03792,                 1.9458,                 3.5975,                 2.4129,              0.0012278,              0.0012278,              0.0012278
                     41,                0.93509,                  1.137,                 1.1705,                 0.1183,                0.32143,                0.08208,                0.03602,                 1.9885,                 4.1272,                 2.5023,               0.001208,               0.001208,               0.001208
                     42,                0.93572,                 1.1018,                 1.1801,                0.19915,                0.46429,                0.12744,                0.04396,                 1.9262,                 3.9484,                 2.4038,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.8997,                 1.1224,                 1.1399,                0.20552,                0.46429,                0.15748,                0.05674,                 1.8726,                 3.5488,                  2.417,              0.0011684,              0.0011684,              0.0011684
                     44,                0.94703,                 1.0835,                 1.1859,                 0.3294,                0.21429,                0.15667,                0.06501,                 1.8092,                 3.1962,                 2.4955,              0.0011486,              0.0011486,              0.0011486
                     45,                0.93716,                 1.1274,                 1.1796,                0.29807,                0.21429,                 0.1561,                0.06517,                 1.8241,                 2.9621,                 2.5354,              0.0011288,              0.0011288,              0.0011288
                     46,                0.92677,                 1.0329,                 1.1812,                0.21629,                0.35714,                0.13842,                0.06376,                 1.9338,                 3.0317,                 2.7051,               0.001109,               0.001109,               0.001109
                     47,                0.92315,                 1.0201,                 1.1716,                0.22115,                0.51732,                 0.2226,                0.06918,                 1.9786,                 2.9415,                 2.7758,              0.0010892,              0.0010892,              0.0010892
                     48,                0.85245,                 1.0174,                 1.1584,                0.23975,                    0.5,                0.24349,                0.06871,                 2.0413,                 2.9505,                 2.7199,              0.0010694,              0.0010694,              0.0010694
                     49,                0.91167,                 1.0801,                  1.149,                0.27584,                    0.5,                0.20569,                0.06819,                 1.9884,                 2.9047,                 2.5955,              0.0010496,              0.0010496,              0.0010496
                     50,                0.89226,                 1.0747,                 1.1599,                0.25297,                0.39286,                 0.1435,                0.05365,                 1.9577,                 3.0418,                 2.5434,              0.0010298,              0.0010298,              0.0010298
