                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9243,                  2.836,                 2.0017,                   0.01,                0.39474,                0.12811,                0.07969,                 1.9328,                 3.2058,                 1.9446,                0.00018,                0.00018,                0.00018
                      2,                 1.8398,                 2.4065,                 1.9431,                0.01933,                0.76316,                0.11967,                0.03705,                 2.4508,                 3.0668,                 2.1206,             0.00037739,             0.00037739,             0.00037739
                      3,                  1.696,                 2.1185,                   1.83,                0.02067,                0.81579,                0.16861,                 0.0642,                  2.257,                 2.7594,                 1.9595,             0.00057203,             0.00057203,             0.00057203
                      4,                 1.6568,                 2.0592,                 1.7888,                0.01533,                0.60526,                0.02341,                0.00662,                 2.4816,                 3.0761,                 2.0689,             0.00076391,             0.00076391,             0.00076391
                      5,                 1.6844,                 1.9963,                 1.8067,                0.18315,                0.02632,                0.02801,                0.01249,                 2.4086,                 2.8808,                 2.2474,             0.00095305,             0.00095305,             0.00095305
                      6,                 1.6803,                 1.9379,                  1.767,                0.23405,                0.12095,                0.12842,                0.04514,                 2.1376,                 2.6791,                 2.2666,              0.0011394,              0.0011394,              0.0011394
                      7,                 1.6655,                 1.8373,                 1.7662,                0.22658,                0.18421,                0.17268,                0.06987,                 2.1449,                 2.5652,                 2.2159,              0.0013231,              0.0013231,              0.0013231
                      8,                 1.6587,                 1.9228,                 1.7781,                0.42191,                0.28947,                0.28114,                0.08079,                 2.1494,                 2.6246,                 2.1382,               0.001504,               0.001504,               0.001504
                      9,                 1.7171,                  1.886,                 1.7768,                 0.2732,                0.23684,                0.18682,                0.06901,                 2.3832,                 2.5479,                 2.3212,              0.0016821,              0.0016821,              0.0016821
                     10,                 1.6302,                 1.8091,                 1.7406,                0.13932,                0.26316,                0.06277,                0.02159,                 2.1797,                 2.8624,                 2.1141,              0.0018575,              0.0018575,              0.0018575
                     11,                 1.6282,                 1.7291,                 1.7102,                0.49069,                0.34211,                0.33928,                0.11071,                 2.3409,                 2.2137,                 2.1907,              0.0018625,              0.0018625,              0.0018625
                     12,                 1.7097,                 1.7322,                 1.7125,                0.37275,                0.26316,                0.23608,                0.10503,                 2.2329,                 2.9657,                 2.5279,              0.0018488,              0.0018488,              0.0018488
                     13,                 1.6661,                 1.7475,                 1.7454,                0.13581,                0.18421,                0.13629,                0.08185,                 2.1679,                 2.4868,                 2.3923,               0.001835,               0.001835,               0.001835
                     14,                 1.6557,                 1.7106,                 1.7235,                0.41006,                0.21053,                0.26013,                0.11007,                 2.2494,                   2.32,                 2.2331,              0.0018213,              0.0018213,              0.0018213
                     15,                 1.6342,                 1.7162,                  1.711,                 0.3344,                0.44737,                0.28043,                0.13192,                 2.1029,                 2.0537,                 2.1198,              0.0018075,              0.0018075,              0.0018075
                     16,                 1.5497,                 1.6484,                 1.6988,                0.32479,                0.42105,                0.28682,                0.12854,                 2.1733,                  2.177,                 2.1814,              0.0017938,              0.0017938,              0.0017938
                     17,                 1.5801,                 1.6287,                  1.666,                0.72244,                0.41126,                0.43009,                0.20445,                 2.2612,                  1.909,                 2.4071,                0.00178,                0.00178,                0.00178
                     18,                 1.5883,                 1.5961,                 1.6578,                0.62075,                0.63158,                0.58198,                0.23306,                 2.0674,                 1.6047,                 2.0637,              0.0017662,              0.0017662,              0.0017662
                     19,                 1.5356,                 1.5716,                 1.6612,                0.72352,                0.41345,                 0.5039,                0.18236,                 2.3389,                 1.7483,                 2.2068,              0.0017525,              0.0017525,              0.0017525
                     20,                 1.5924,                 1.6348,                 1.7069,                0.65212,                0.49348,                0.49333,                0.17562,                 2.1692,                 1.9576,                 1.9516,              0.0017388,              0.0017388,              0.0017388
